day,num_tx,total_usd,whale_tx_count,avg_usd,eth_tx_growth
2020-01-01 00:00:00+00:00,466526,507514778.76795936,719,1087.859580747824,0.0
2020-01-02 00:00:00+00:00,505639,863428455.6793033,1340,1707.5986141877966,0.08383884285120224
2020-01-03 00:00:00+00:00,581641,1441102516.9526641,2014,2477.6494727033755,0.15030881716006883
2020-01-04 00:00:00+00:00,559074,770128803.2191232,1065,1377.5078133111597,-0.03879884671128753
2020-01-05 00:00:00+00:00,524664,668827295.9753451,1018,1274.772608708326,-0.061548202921259065
2020-01-06 00:00:00+00:00,626525,1408299989.3326173,2177,2247.795362248302,0.19414520531235224
2020-01-07 00:00:00+00:00,646478,1588041070.1372707,2265,2456.4502893173017,0.031847093092853385
2020-01-08 00:00:00+00:00,653831,1707427568.8951862,2470,2611.4203347580433,0.011373936932115303
2020-01-09 00:00:00+00:00,621399,1386627752.8222039,2095,2231.461191315409,-0.0496030319761529
2020-01-10 00:00:00+00:00,605095,1395488685.943767,2125,2306.23073392404,-0.026237570385533315
2020-01-11 00:00:00+00:00,549612,929266347.5350871,1293,1690.767937263173,-0.09169303993587785
2020-01-12 00:00:00+00:00,523951,640852248.7423513,882,1223.1148499427452,-0.04668930081584832
2020-01-13 00:00:00+00:00,565389,1313024916.702962,2157,2322.338985553242,0.07908754826310105
2020-01-14 00:00:00+00:00,671748,2256847241.1757407,3517,3359.663506516939,0.1881165003210179
2020-01-15 00:00:00+00:00,698399,2113195897.2486286,2793,3025.77165380911,0.03967410397946858
2020-01-16 00:00:00+00:00,693649,1939827220.5552464,2399,2796.554482966524,-0.006801269761268269
2020-01-17 00:00:00+00:00,676556,1776417004.9250667,2755,2625.6762262474454,-0.02464214609982862
2020-01-18 00:00:00+00:00,628211,1230842155.5099573,1565,1959.2814444668388,-0.07145749945311253
2020-01-19 00:00:00+00:00,615368,1232846076.1604893,1742,2003.4289663428865,-0.02044376809702475
2020-01-20 00:00:00+00:00,599266,1328077782.6794395,1877,2216.174090770108,-0.026166456494325363
2020-01-21 00:00:00+00:00,558962,1416793135.3599887,1992,2534.685963196047,-0.0672556093621196
2020-01-22 00:00:00+00:00,513767,1199418046.2273135,1592,2334.5564160938975,-0.08085522808348333
2020-01-23 00:00:00+00:00,552533,1069756743.8497688,1597,1936.0956609827265,0.075454437517396
2020-01-24 00:00:00+00:00,497135,940511229.8915817,1280,1891.8628338209573,-0.10026188481050002
2020-01-25 00:00:00+00:00,435515,367963209.32528025,552,844.8921606036077,-0.1239502348456657
2020-01-26 00:00:00+00:00,428839,438707528.2748758,636,1023.0121986919935,-0.015328978335993004
2020-01-27 00:00:00+00:00,476541,1039024220.3916353,1616,2180.3459101979374,0.11123521881172183
2020-01-28 00:00:00+00:00,526284,1115278050.7272632,1720,2119.156293421923,0.10438346333264081
2020-01-29 00:00:00+00:00,551529,1158003410.1756883,1825,2099.6237916332384,0.047968397291196396
2020-01-30 00:00:00+00:00,566052,1295323551.7567039,1916,2288.3472750855112,0.026332250887985964
2020-01-31 00:00:00+00:00,583358,1325409298.4589844,2030,2272.0341513427165,0.030573162889628414
2020-02-01 00:00:00+00:00,545761,836954085.4962264,1131,1533.554221529619,-0.0644492747163834
2020-02-02 00:00:00+00:00,530094,1032726658.9100585,1447,1948.1953368837574,-0.02870670494960248
2020-02-03 00:00:00+00:00,621191,1547940604.486295,2443,2491.8915510467714,0.1718506529030701
2020-02-04 00:00:00+00:00,524476,1530117444.717266,2385,2917.4212827989577,-0.1556928545326639
2020-02-05 00:00:00+00:00,610780,1922635729.222404,2946,3147.836748456734,0.16455281080545148
2020-02-06 00:00:00+00:00,606505,2263101227.990398,3107,3731.3809910724526,-0.00699924686466491
2020-02-07 00:00:00+00:00,626252,2142795664.6302233,3039,3421.6188764750027,0.03255867635056586
2020-02-08 00:00:00+00:00,661649,1570497614.2354553,2018,2373.611407612579,0.056521975179320894
2020-02-09 00:00:00+00:00,628631,1508188770.3615453,2160,2399.163850273921,-0.04990259185761636
2020-02-10 00:00:00+00:00,668760,2235217943.307316,3119,3342.33199250451,0.0638355410407696
2020-02-11 00:00:00+00:00,709280,1926613258.2366703,2977,2716.2943523526255,0.06058974819068119
2020-02-12 00:00:00+00:00,798162,3145221048.882268,4423,3940.5797931776606,0.12531299345815472
2020-02-13 00:00:00+00:00,764763,2805824762.5076947,4336,3668.881421443891,-0.04184488863163116
2020-02-14 00:00:00+00:00,771827,2423028805.0759983,3482,3139.341853907674,0.009236848540005171
2020-02-15 00:00:00+00:00,699151,2348432896.02339,3480,3358.978097754834,-0.09416099721828852
2020-02-16 00:00:00+00:00,661490,2505613213.9583025,4223,3787.8323390501782,-0.053866761257582385
2020-02-17 00:00:00+00:00,695366,3318624200.528271,4957,4772.485569510547,0.05121165852847365
2020-02-18 00:00:00+00:00,733983,3434454478.1841125,5374,4679.201668409367,0.05553478312140658
2020-02-19 00:00:00+00:00,695837,3183028075.9827504,4942,4574.3875016458605,-0.05197123094131606
2020-02-20 00:00:00+00:00,689600,3741486609.7291126,4793,5425.589631277716,-0.008963306061620768
2020-02-21 00:00:00+00:00,670542,1669176708.708003,2699,2489.294792433588,-0.027636310904872396
2020-02-22 00:00:00+00:00,605859,987915857.791699,1491,1630.6035856390663,-0.0964637561852949
2020-02-23 00:00:00+00:00,606290,1232531998.183942,1705,2032.9083411963616,0.0007113866427668203
2020-02-24 00:00:00+00:00,687702,2057791848.8012288,2898,2992.272595980859,0.1342789754078082
2020-02-25 00:00:00+00:00,670257,1943637083.171081,3352,2899.838544276421,-0.025367092141654335
2020-02-26 00:00:00+00:00,704929,2691524869.4625673,4805,3818.150295224863,0.051729411255682534
2020-02-27 00:00:00+00:00,714482,2463859577.7622423,4227,3448.455773220658,0.013551719393016803
2020-02-28 00:00:00+00:00,688694,1884542574.755371,2845,2736.4004547090162,-0.0360932815662256
2020-02-29 00:00:00+00:00,620465,1165763104.41614,1565,1878.8539311905427,-0.09907012403186322
2020-03-01 00:00:00+00:00,628500,3446822854.0224233,1690,5484.205018333211,0.012949964945645709
2020-03-02 00:00:00+00:00,681477,2232695269.609658,3002,3276.2591688489233,0.08429116945107396
2020-03-03 00:00:00+00:00,661419,1767726728.6419792,2718,2672.6276817599423,-0.029433128337420067
2020-03-04 00:00:00+00:00,663966,1685803586.8032382,2549,2538.990832065555,0.003850811664013243
2020-03-05 00:00:00+00:00,720114,2555782203.416404,2775,3549.1355582816104,0.08456457107743476
2020-03-06 00:00:00+00:00,676799,2120294658.9643898,2829,3132.827706548606,-0.06015019844080238
2020-03-07 00:00:00+00:00,630992,1223597255.0462406,1458,1939.1644506526875,-0.06768183759136759
2020-03-08 00:00:00+00:00,662565,1891759005.2546852,2586,2855.2051576142494,0.050037084463828485
2020-03-09 00:00:00+00:00,784085,3518808858.485802,4968,4487.790046341662,0.1834084203059323
2020-03-10 00:00:00+00:00,760588,2377882979.906885,3239,3126.3745679748895,-0.029967414247179858
2020-03-11 00:00:00+00:00,713065,2388053215.2925725,3248,3348.9979388871598,-0.06248192188149171
2020-03-12 00:00:00+00:00,760781,5399966505.562706,6999,7097.925034356413,0.06691676074411168
2020-03-13 00:00:00+00:00,847947,5701273511.608734,7710,6723.620122022643,0.11457436502751772
2020-03-14 00:00:00+00:00,681830,2246974529.7211347,3305,3295.5055214952918,-0.1959049327375414
2020-03-15 00:00:00+00:00,657653,2241868517.28645,2955,3408.8927098126974,-0.03545898537758674
