day,num_tx,total_btc,btc_whale_tx_count,avg_btc,btc_tx_growth
2020-01-01 00:00:00+00:00,251735,445595.37598221994,555,1.7700970305369532,0.0
2020-01-02 00:00:00+00:00,295567,695423.33683518,919,2.3528449956699493,0.17411960990724373
2020-01-03 00:00:00+00:00,316517,1018828.7605801901,1220,3.2188753229058475,0.07088071401746476
2020-01-04 00:00:00+00:00,287215,659620.0341192901,757,2.2966071901512457,-0.0925763861024842
2020-01-05 00:00:00+00:00,287779,565296.54187035,510,1.9643425749285042,0.001963685740647314
2020-01-06 00:00:00+00:00,299146,1097641.3160954202,1082,3.6692495172772497,0.039499060042602174
2020-01-07 00:00:00+00:00,344079,786850.60501373,1235,2.286831236471072,0.15020424809290445
2020-01-08 00:00:00+00:00,318019,901196.8446100099,1368,2.8337830274606546,-0.07573842053714408
2020-01-09 00:00:00+00:00,322057,1209651.56106413,984,3.7560169816651396,0.012697354560576635
2020-01-10 00:00:00+00:00,330734,906991.3183690701,967,2.7423588695721337,0.026942435655800123
2020-01-11 00:00:00+00:00,309070,595929.4266505799,558,1.928137401399618,-0.06550279076236487
2020-01-12 00:00:00+00:00,283136,501745.46011720004,468,1.772100545734912,-0.0839097938978225
2020-01-13 00:00:00+00:00,291597,689551.9919967001,873,2.364743094053437,0.029883165687160984
2020-01-14 00:00:00+00:00,346953,1249904.1855120498,1650,3.602517302090052,0.1898373440055967
2020-01-15 00:00:00+00:00,332658,1601482.1027091797,1470,4.8141998770785,-0.04120154603073034
2020-01-16 00:00:00+00:00,325947,888152.9009637999,1140,2.7248383969289485,-0.02017387226520928
2020-01-17 00:00:00+00:00,323992,1116671.92697822,1080,3.446603394461036,-0.0059979076352904
2020-01-18 00:00:00+00:00,287237,505653.62778351,634,1.760405615514401,-0.11344415911503991
2020-01-19 00:00:00+00:00,283960,632112.6873283001,739,2.2260624289628823,-0.011408697347486618
2020-01-20 00:00:00+00:00,313661,979328.5015567901,1275,3.1222514165190765,0.10459571770671916
2020-01-21 00:00:00+00:00,315210,668118.8088082201,1243,2.1195990254377084,0.004938452660675052
2020-01-22 00:00:00+00:00,328586,897468.4187946599,1115,2.7313044950017953,0.042435201928872734
2020-01-23 00:00:00+00:00,329918,867468.1902800498,1200,2.629344838050818,0.0040537332692203165
