Model,Dataset,Target,Horizon,Context,MAE,RMSE,MASE
XGBoost,bitcoin_ohlcv_hourly_merged,return,6,,0.011383002266492276,0.01519872976153399,0.8356746785590161
ARIMAX,bitcoin_ohlcv_hourly_merged,return,6,,0.005543928459466251,0.0072092441435020966,0.3931649173893337
Prophet,bitcoin_ohlcv_hourly_merged,return,6,,0.01015102714293441,0.014014129267973859,0.7198916395203507
RandomForest,bitcoin_ohlcv_hourly_merged,return,24,,0.024091447992647584,0.030486597576737932,0.788474072766538
XGBoost,bitcoin_ohlcv_hourly_merged,return,24,,0.02376887809000729,0.02997402885071001,0.7779168823077363
ARIMAX,bitcoin_ohlcv_hourly_merged,return,24,,0.008086825531989021,0.010058907817315704,0.23218182450419203
Prophet,bitcoin_ohlcv_hourly_merged,return,24,,0.02051227246918433,0.025252507420312927,0.5889303321535775
RandomForest,ethereum_ohlcv_daily_merged,return,1,,0.030641469712257757,0.04403413482622175,0.71572127877163
XGBoost,ethereum_ohlcv_daily_merged,return,1,,0.031159772103464007,0.04523320207673461,0.7278277493067602
ARIMAX,ethereum_ohlcv_daily_merged,return,1,,0.028121093432137628,0.0381844827356645,0.7189591574959834
Prophet,ethereum_ohlcv_daily_merged,return,1,,0.028455483885679683,0.03653386059689841,0.7275083655605086
RandomForest,ethereum_ohlcv_daily_merged,return,3,,0.0478162270652123,0.06578394240675134,0.6482060451583657
XGBoost,ethereum_ohlcv_daily_merged,return,3,,0.04815266210724791,0.06663851809644745,0.6527668238194084
ARIMAX,ethereum_ohlcv_daily_merged,return,3,,0.04377938178749405,0.057951716199844384,0.6046880800605899
Prophet,ethereum_ohlcv_daily_merged,return,3,,0.05835023800408228,0.07778663754215007,0.8059431620353779
RandomForest,ethereum_ohlcv_daily_merged,return,7,,0.060502167987762395,0.08279663274037519,0.5251662535502319
XGBoost,ethereum_ohlcv_daily_merged,return,7,,0.05985789668868713,0.08113647685884512,0.5195738994965104
ARIMAX,ethereum_ohlcv_daily_merged,return,7,,0.04024466063788826,0.05660335886657113,0.3367973916373989
Prophet,ethereum_ohlcv_daily_merged,return,7,,0.09777461116682941,0.1249340664610547,0.8182510049133558
RandomForest,ethereum_ohlcv_hourly_merged,return,1,,0.004695082855054794,0.006872173518909606,0.7015630999077237
XGBoost,ethereum_ohlcv_hourly_merged,return,1,,0.004727886688077308,0.006926872365328966,0.706464815062623
