Model,Dataset,Target,Horizon,Context,MAE,RMSE,MASE
RandomForest,solana_ohlcv_daily_merged,volatility,3,,0.016401952482765405,0.023358404185078983,0.747481717737299
XGBoost,solana_ohlcv_daily_merged,volatility,3,,0.016248161971947284,0.023587801181330793,0.7404730646321996
ARIMAX,solana_ohlcv_daily_merged,volatility,3,,0.014320206530910685,0.017968564946818887,0.667612716278558
Prophet,solana_ohlcv_daily_merged,volatility,3,,0.01886639965062574,0.025667781004871406,0.879557727743895
RandomForest,solana_ohlcv_daily_merged,volatility,7,,0.010960488390002347,0.016250852050703358,0.6227417314966319
XGBoost,solana_ohlcv_daily_merged,volatility,7,,0.010897615161734675,0.016827801507369275,0.6191694652213529
ARIMAX,solana_ohlcv_daily_merged,volatility,7,,0.005451356956238434,0.008649181642469039,0.30420409084734035
Prophet,solana_ohlcv_daily_merged,volatility,7,,0.015973626148411763,0.02139764546684945,0.8913821749375767
RandomForest,solana_ohlcv_hourly_merged,volatility,1,,0.0,0.0,
XGBoost,solana_ohlcv_hourly_merged,volatility,1,,0.0,0.0,
ARIMAX,solana_ohlcv_hourly_merged,volatility,1,,4.824558165895702e-06,4.824558165895702e-06,
Prophet,solana_ohlcv_hourly_merged,volatility,1,,0.0,0.0,
RandomForest,solana_ohlcv_hourly_merged,volatility,6,,0.0027201628567207234,0.00339106949710437,0.934835682223247
XGBoost,solana_ohlcv_hourly_merged,volatility,6,,0.002704273369320418,0.0034955924846924195,0.9293749577826709
ARIMAX,solana_ohlcv_hourly_merged,volatility,6,,0.0008643921526648958,0.0012526215831295403,0.29827068730002304
Prophet,solana_ohlcv_hourly_merged,volatility,6,,0.0031213507566538535,0.0037417393508206473,1.0770660430237862
RandomForest,solana_ohlcv_hourly_merged,volatility,24,,0.0019690027954174334,0.0024093416456072584,0.8808770796421588
XGBoost,solana_ohlcv_hourly_merged,volatility,24,,0.0019473843098157344,0.0024940506453005303,0.8712055705374327
ARIMAX,solana_ohlcv_hourly_merged,volatility,24,,0.0002625064000584932,0.0003908602559845787,0.12247414509233319
Prophet,solana_ohlcv_hourly_merged,volatility,24,,0.002065327123446582,0.002701205961748329,0.9635924065994743
